text,x_distance,y_distance,digit_ratio,special_chars,pattern_score,character_count,horizontal_score,vertical_score,alignment_score,normalized_distance,is_integer,is_valid
+51-979771365,0.00011685490608215332,0.102164626121521,0.8461538461538461,2,0.5,13,0.9883825195686345,1.0,1,0.0011437790822439648,1,0
+51-988747961,0.00027588754892349243,0.17008346319198608,0.8461538461538461,2,0.5,13,0.9727883389974978,1.0,1,0.0016220620258070198,1,0
800-543-8917 I 303-449-3711,0.3732166402041912,0.7559165507555008,0.7407407407407407,4,0.2,27,0.0,0.0,0,0.49372665025594437,1,0
800-543-8917 I 303-449-3711,0.3732071928679943,0.45773932337760925,0.7407407407407407,4,0.2,27,0.0,1.0,0,0.8153251391840347,1,0
800-543-8917 I 303-449-3711,0.3728555478155613,0.7550893723964691,0.7407407407407407,4,0.2,27,0.0,0.0,0,0.4937893018450367,1,0
800-543-8917 I 303-449-3711,0.3729829415678978,0.4493815302848816,0.7407407407407407,4,0.2,27,0.0,1.0,0,0.8299898559284202,1,0
800-543-8917 303-449-3711,0.3731274865567684,0.6255038976669312,0.8,4,0.2,25,0.0,1.0,0,0.5965220863153837,1,0
703470-7547,0.46967824175953865,0.1696806252002716,0.9090909090909091,1,0.5,11,0.0,1.0,0,2.767997072194396,1,0
(703) 220-7430,0.0032773539423942566,0.1814395636320114,0.7142857142857143,3,1.0,14,0.7205536571307882,1.0,1,0.018062961648648866,1,1
703-470-7547,0.46783556416630745,0.1808662712574005,0.8333333333333334,2,0.5,12,0.0,1.0,0,2.5866236655967967,1,0
+1-443-470-7200 or 855-291-4527,0.5865898318588734,0.19194671511650085,0.6774193548387096,6,0.2,31,0.0,1.0,0,3.0559875719429543,1,0
703-470-7547,0.46760107949376106,0.2299509048461914,0.8333333333333334,2,0.5,12,0.0,1.0,0,2.0334733900400903,1,0
(703) 501-3961,0.003332901746034622,0.23626208305358887,0.7142857142857143,3,1.0,14,0.716562235822409,1.0,1,0.014106739415055622,1,1
+1-443-470-7200 or 855-291-4527,0.5862262435257435,0.24688419699668884,0.6774193548387096,6,0.2,31,0.0,1.0,0,2.374489238954273,1,0
3013250480,0.47186263278126717,0.2848581075668335,1.0,0,0.5,10,0.0,1.0,0,1.6564772557625143,1,0
(301) 520-5930,0.003319680690765381,0.291162371635437,0.7142857142857143,3,1.0,14,0.7175102332530074,1.0,1,0.01140143649291822,1,1
+1-443-470-7200 or 855-291-4527,0.587004441767931,0.3016417622566223,0.6774193548387096,6,0.2,31,0.0,1.0,0,1.946025282942269,1,0
3013250480,0.47185589745640755,0.33973991870880127,1.0,0,0.5,10,0.0,1.0,0,1.3888697871593285,1,0
(703) 342-7977,0.00327923521399498,0.3460202217102051,0.7142857142857143,3,1.0,14,0.7204181141676487,1.0,1,0.009476977157029288,1,1
+1-443-470-7200 or 855-291-4527,0.5865974612534046,0.3564678132534027,0.6774193548387096,6,0.2,31,0.0,1.0,0,1.6455786297254862,1,0
239-463-7009,0.4675154872238636,0.3945733904838562,0.8333333333333334,2,0.5,12,0.0,1.0,0,1.1848601898632136,1,0
(513) 484-5784,0.003299504518508911,0.40084946155548096,0.7142857142857143,3,0.9,14,0.7189593556547685,1.0,1,0.008231260370027622,1,1
+1-443-470-7200 or 855-291-4527,0.587026733905077,0.41122594475746155,0.6774193548387096,6,0.1,31,0.0,1.0,0,1.4275006572132594,1,0
2394637009,0.4717484898865223,0.4493817687034607,1.0,0,0.4,10,0.0,1.0,0,1.0497698682296837,1,0
+1-443-470-7200 or 855-291-4527,0.586011964827776,0.4661980867385864,0.6774193548387096,6,0.1,31,0.0,1.0,0,1.2569993839485418,1,0
1-910-269-8559,0.4626409597694874,0.5040615797042847,0.7857142857142857,3,0.1,14,0.0,1.0,0,0.9178244495770785,1,0
(757) 705-2672,0.0032356567680835724,0.510665237903595,0.7142857142857143,3,0.9,14,0.7235644349590922,1.0,1,0.006336147816167962,1,1
+1-443-470-7200 or 855-291-4527,0.5868123956024647,0.5211217999458313,0.6774193548387096,6,0.1,31,0.0,1.0,0,1.1260539659048914,1,0
9102698559,0.47194280102849007,0.558861494064331,1.0,0,0.4,10,0.0,1.0,0,0.8444703411679731,1,0
(757) 705-1505,0.003260396420955658,0.5655256509780884,0.7142857142857143,3,0.9,14,0.7217765741286452,1.0,1,0.005765239207235847,1,1
+1-443-470-7200 or 855-291-4527,0.5864935703575611,0.5761008858680725,0.6774193548387096,6,0.1,31,0.0,1.0,0,1.018037928263037,1,0
818-996-5188,0.467528123408556,0.6083134412765503,0.8333333333333334,2,0.4,12,0.0,1.0,0,0.7685632490122153,1,0
(818) 262-1318,0.0032863467931747437,0.6203920245170593,0.7142857142857143,3,0.9,14,0.7199059652524675,1.0,1,0.005297201392186796,1,1
818-917-1091,0.46802766993641853,0.619618833065033,0.8333333333333334,2,0.4,12,0.0,1.0,0,0.7553464962883073,1,0
+1-443-470-7200 or 855-291-4527,0.5866311974823475,0.6307529211044312,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.9300476427561066,1,0
(818) 943-2713,0.0033643729984760284,0.669360876083374,0.7142857142857143,3,0.9,14,0.714310669559933,1.0,1,0.005026239346288928,1,1
(818)943-2712,0.4660317488014698,0.6631962060928345,0.7692307692307693,3,0.4,13,0.0,1.0,0,0.7027046322270462,1,0
+1-443-470-7200 or 855-291-4527,0.5860203094780445,0.6742993593215942,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.8690790407818153,1,0
818-681-8151,0.4677745886147022,0.7179982662200928,0.8333333333333334,2,0.4,12,0.0,0.0,0,0.6514973073403008,1,0
(818) 633-4000,0.003215700387954712,0.7240801453590393,0.7142857142857143,3,0.9,14,0.7250098494325973,0.0,1,0.004441077368973875,1,1
+1-443-470-7200 or 855-291-4527,0.5869400091469288,0.7404360175132751,0.6774193548387096,6,0.1,31,0.0,0.0,0,0.7926940377969496,1,0
800-543-8917 303-449-3711,0.3664703257381916,0.9256988763809204,0.8,4,0.1,25,0.0,0.0,0,0.39588460049376856,1,0
703470-7547,0.1604551076889038,0.044400617480278015,0.9090909090909091,1,0.6000000000000001,11,0.0,1.0,0,3.613722129833977,1,0
(703) 220-7430,0.3059457801282406,0.05615955591201782,0.7142857142857143,3,0.8,14,0.0,1.0,0,5.447698569927637,1,1
703-470-7547,0.1586124300956726,0.05558626353740692,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,2.853395184473074,1,0
+1-443-470-7200 or 855-291-4527,0.2773666977882385,0.06666670739650726,0.6774193548387096,6,0.2,31,0.0,1.0,0,4.160435518482668,1,0
703-470-7547,0.15837794542312622,0.10467089712619781,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,1.513089470731362,1,0
(703) 501-3961,0.3058902323246002,0.11098207533359528,0.7142857142857143,3,0.8,14,0.0,1.0,0,2.756188107106862,1,1
+1-443-470-7200 or 855-291-4527,0.27700310945510864,0.12160418927669525,0.6774193548387096,6,0.2,31,0.0,1.0,0,2.2778888886462534,1,0
3013250480,0.16263949871063232,0.1595780998468399,1.0,0,0.6000000000000001,10,0.0,1.0,0,1.0191779428930838,1,0
(301) 520-5930,0.30590345337986946,0.16588236391544342,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.844087593592563,1,1
+1-443-470-7200 or 855-291-4527,0.27778130769729614,0.17636175453662872,0.6774193548387096,6,0.2,31,0.0,1.0,0,1.5750565272533426,1,0
3013250480,0.1626327633857727,0.21445991098880768,1.0,0,0.6000000000000001,10,0.0,1.0,0,0.7583328944931145,1,0
(703) 342-7977,0.30594389885663986,0.2207402139902115,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.3859844898298266,1,1
+1-443-470-7200 or 855-291-4527,0.2773743271827698,0.23118780553340912,0.6774193548387096,6,0.2,31,0.0,1.0,0,1.1997740398493748,1,0
239-463-7009,0.15829235315322876,0.2692933827638626,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,0.5878041403189287,1,0
(513) 484-5784,0.30592362955212593,0.27556945383548737,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.110146698581696,1,1
+1-443-470-7200 or 855-291-4527,0.27780359983444214,0.28594593703746796,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.9715215092443577,1,0
2394637009,0.16252535581588745,0.3241017609834671,1.0,0,0.6000000000000001,10,0.0,1.0,0,0.501462422975712,1,0
+1-443-470-7200 or 855-291-4527,0.2767888307571411,0.34091807901859283,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.8118901164286139,1,0
1-910-269-8559,0.15341782569885254,0.3787815719842911,0.7857142857142857,3,0.30000000000000004,14,0.0,1.0,0,0.4050287342819329,1,0
(757) 705-2672,0.30598747730255127,0.3853852301836014,0.7142857142857143,3,0.8,14,0.0,1.0,0,0.7939761551853479,1,1
+1-443-470-7200 or 855-291-4527,0.27758926153182983,0.3958417922258377,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.7012613769495103,1,0
9102698559,0.16271966695785522,0.43358148634433746,1.0,0,0.5,10,0.0,1.0,0,0.3752911431681501,1,0
(757) 705-1505,0.3059627376496792,0.4402456432580948,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.6949802851087462,1,1
+1-443-470-7200 or 855-291-4527,0.27727043628692627,0.4508208781480789,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.6150332309202013,1,0
818-996-5188,0.15830498933792114,0.4830334335565567,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.3277302368949766,1,0
(818) 262-1318,0.3059367872774601,0.49511201679706573,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.6179130358086623,1,1
818-917-1091,0.1588045358657837,0.49433882534503937,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.32124568510121815,1,0
+1-443-470-7200 or 855-291-4527,0.27740806341171265,0.5054729133844376,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.5488078732971731,1,0
(818) 943-2713,0.3058587610721588,0.5440808683633804,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.5621557689327048,1,1
(818)943-2712,0.15680861473083496,0.5379161983728409,0.7692307692307693,3,0.5,13,0.0,1.0,0,0.29151069198971374,1,0
+1-443-470-7200 or 855-291-4527,0.27679717540740967,0.5490193516016006,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.5041656007831726,1,0
818-681-8151,0.15855145454406738,0.5927182585000992,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.2674984021023519,1,0
(818) 633-4000,0.30600743368268013,0.5988001376390457,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.5110334874933719,1,1
+1-443-470-7200 or 855-291-4527,0.27771687507629395,0.6151560097932816,0.6774193548387096,6,0.1,31,0.0,1.0,0,0.4514568974343939,1,0
800-543-8917 303-449-3711,0.05724719166755676,0.8004188686609268,0.8,4,0.30000000000000004,25,0.0,0.0,0,0.07152145256380157,1,0
703470-7547,0.02475765347480774,0.04442742466926575,0.9090909090909091,1,0.7,11,0.08409860096797576,1.0,0,0.5572480604277276,1,1
(703) 220-7430,0.44164323434233665,0.056186363101005554,0.7142857142857143,3,0.8,14,0.0,1.0,0,7.860187949173091,1,1
703-470-7547,0.022914975881576538,0.05561307072639465,0.8333333333333334,2,0.7,12,0.10111491990188269,1.0,0,0.4120355798860989,1,1
+1-443-470-7200 or 855-291-4527,0.14166924357414246,0.066693514585495,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,2.12415135569415,1,0
703-470-7547,0.02268049120903015,0.10469770431518555,0.8333333333333334,2,0.7,12,0.10351392638302195,1.0,0,0.21662628355698346,1,1
(703) 501-3961,0.4415876865386963,0.11100888252258301,0.7142857142857143,3,0.8,14,0.0,1.0,0,3.9779132857731208,1,1
+1-443-470-7200 or 855-291-4527,0.14130565524101257,0.12163099646568298,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,1.1617473966307894,1,0
3013250480,0.026942044496536255,0.15960490703582764,1.0,0,0.7,10,0.06759613651890771,1.0,0,0.16880355493665045,1,1
(301) 520-5930,0.44160090759396553,0.16590917110443115,0.7142857142857143,3,0.8,14,0.0,1.0,0,2.6616867709454803,1,1
+1-443-470-7200 or 855-291-4527,0.14208385348320007,0.17638856172561646,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.8055116872744388,1,0
3013250480,0.026935309171676636,0.2144867181777954,1.0,0,0.7,10,0.06764168004858037,1.0,0,0.12557972736391898,1,1
(703) 342-7977,0.44164135307073593,0.22076702117919922,0.7142857142857143,3,0.8,14,0.0,1.0,0,2.0004770197774797,1,1
+1-443-470-7200 or 855-291-4527,0.1416768729686737,0.23121461272239685,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.6127478646469019,1,0
239-463-7009,0.02259489893913269,0.26932018995285034,0.8333333333333334,2,0.7,12,0.10440372815092745,1.0,0,0.0838957340975968,1,1
(513) 484-5784,0.441621083766222,0.2755962610244751,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.6024146325859268,1,1
+1-443-470-7200 or 855-291-4527,0.14210614562034607,0.2859727442264557,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.49692025400701006,1,0
2394637009,0.026827901601791382,0.32412856817245483,1.0,0,0.7,10,0.06837211860562506,1.0,0,0.0827690659419182,1,1
+1-443-470-7200 or 855-291-4527,0.14109137654304504,0.34094488620758057,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.41382337271300396,1,0
1-910-269-8559,0.01772037148475647,0.3788083791732788,0.7857142857142857,3,0.4,14,0.16998634843572114,1.0,1,0.046779125488998624,1,0
(757) 705-2672,0.44168493151664734,0.3854120373725891,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.1460041272284691,1,1
+1-443-470-7200 or 855-291-4527,0.14189180731773376,0.39586859941482544,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.3584306739579859,1,0
9102698559,0.027022212743759155,0.4336082935333252,1.0,0,0.6,10,0.06705639653169904,1.0,0,0.06231926563096682,1,0
(757) 705-1505,0.44166019186377525,0.4402724504470825,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.0031497275506496,1,1
+1-443-470-7200 or 855-291-4527,0.1415729820728302,0.45084768533706665,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.3140144058909397,1,0
818-996-5188,0.022607535123825073,0.48306024074554443,0.8333333333333334,2,0.6,12,0.10427188498904898,1.0,0,0.046800556983071506,1,0
(818) 262-1318,0.44163424149155617,0.49513882398605347,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.89193843859345,1,1
818-917-1091,0.023107081651687622,0.4943656325340271,0.8333333333333334,2,0.6,12,0.099190983082464,1.0,0,0.04674077927396762,1,0
+1-443-470-7200 or 855-291-4527,0.14171060919761658,0.5054997205734253,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.2803371062198768,1,0
(818) 943-2713,0.4415562152862549,0.5441076755523682,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.8115221005031685,1,1
(818)943-2712,0.02111116051673889,0.5379430055618286,0.7692307692307693,3,0.6,13,0.12110273407519143,1.0,0,0.03924415979817528,1,0
