value_text,x_distance,y_distance,euclidean_distance,horizontal_score,vertical_score,alignment_score,pattern_score,character_count,is_integer,is_valid
F,0.014105081558227539,0.034965574741363525,0.03770337839979502,0.24401925183880274,1.0,1,1,1,0,0
M,0.01304355263710022,0.06259533762931824,0.06393989801622417,0.27134742619306557,1.0,1,1,1,0,0
F,0.013985604047775269,0.08990231156349182,0.09098363998566063,0.24695221940345238,1.0,1,1,1,0,0
M,0.013139724731445312,0.11750936508178711,0.11824171534590862,0.2687503295940554,1.0,1,1,1,0,0
F,0.014018893241882324,0.14489802718162537,0.14557461196532293,0.24613150217543095,1.0,1,1,1,0,0
M,0.013161808252334595,0.17240390181541443,0.17290557699984777,0.26815748908351744,1.0,1,1,1,0,0
M,0.01311558485031128,0.19990429282188416,0.20033408310765125,0.2693998733752262,1.0,1,1,1,0,0
F,0.014176368713378906,0.2272467315196991,0.22768848547145257,0.24228589366145475,1.0,1,1,1,0,0
F,0.01502971351146698,0.044202789664268494,0.046688102363882114,0.22246814611635932,1.0,1,1,1,0,0
M,0.013817355036735535,0.0990963727235794,0.10005503679066723,0.2511423162115548,1.0,1,1,1,0,0
M,0.013757959008216858,0.1537737399339676,0.1543879675666186,0.2526384406230966,1.0,1,1,1,0,0
F,0.014990463852882385,0.20857863128185272,0.20911661682882984,0.2233430418392086,1.0,1,1,1,0,0
F,0.015127524733543396,0.26329655945301056,0.2637307722363029,0.22030276518318986,1.0,1,1,1,0,0
M,0.01376672089099884,0.31817103922367096,0.3184687312826197,0.252417178730494,1.0,1,1,1,0,0
F,0.014979645609855652,0.37291668355464935,0.3732174200864629,0.22358479051091992,1.0,1,1,1,0,0
M,0.013756409287452698,0.42796890437602997,0.4281899367211978,0.25267759556070507,1.0,1,1,1,0,0
F,0.015044048428535461,0.48261354863643646,0.48284796853727585,0.2221494683394097,1.0,1,1,1,0,0
F,0.014998450875282288,0.5320984572172165,0.5323097986150548,0.22316472847052812,1.0,1,1,1,0,0
F,0.01495043933391571,0.5869483202695847,0.5871386942653022,0.2242387529451872,1.0,1,1,1,0,0
F,0.049377232789993286,-0.6428040266036987,0.64469770259861,0.0071709059535423865,0.0,0,1,1,0,0
M,0.05058959126472473,-0.5879104435443878,0.5900830419296006,0.0,0.0,0,1,1,0,0
M,0.05064898729324341,-0.5332330763339996,0.5356331147440869,0.0,0.0,0,1,1,0,0
F,0.04941648244857788,-0.4784281849861145,0.4809735095893519,0.007142815555489039,0.0,0,1,1,0,0
F,0.04927942156791687,-0.42371025681495667,0.42656634081964906,0.007241389603679234,0.0,0,1,1,0,0
M,0.050640225410461426,-0.36883577704429626,0.3722959345164706,0.0,0.0,0,1,1,0,0
F,0.049427300691604614,-0.31409013271331787,0.31795545210222126,0.007135092462299772,0.0,0,1,1,0,0
M,0.05065053701400757,-0.25903791189193726,0.26394339676745543,0.0,0.0,0,1,1,0,0
F,0.049362897872924805,-0.20439326763153076,0.21026959727813094,0.007181192759021022,0.0,0,1,1,0,0
F,0.04940849542617798,-0.15490835905075073,0.16259704525013657,0.00714852281717099,0.0,0,1,1,0,0
F,0.049456506967544556,-0.10005849599838257,0.11161383741673397,0.007114283916167213,0.0,0,1,1,0,0
F,0.018191099166870117,0.027258053421974182,0.032770681489009364,0.16217003155242138,1.0,1,1,1,0,0
M,0.017028898000717163,0.04852631688117981,0.05142749067543064,0.18215636724756706,1.0,1,1,1,0,0
F,0.018148273229599,0.06962890923023224,0.07195515840999935,0.1628660291860719,1.0,1,1,1,0,0
M,0.01678168773651123,0.09108072519302368,0.09261384100107753,0.18671558165822194,1.0,1,1,1,0,0
F,0.018231093883514404,0.11210107803344727,0.11357387234945611,0.16152273239656142,1.0,1,1,1,0,0
F,0.045523762702941895,0.21702754497528076,0.22175068939832246,0.010542123661072784,1.0,0,1,1,0,0
F,0.008791089057922363,-0.16238246858119965,0.1626202611895228,0.4151526870595406,0.0,1,1,1,0,0
M,0.009953290224075317,-0.14111420512199402,0.1414647902253309,0.36960181725636293,0.0,1,1,1,0,0
F,0.008833914995193481,-0.12001161277294159,0.1203363006515689,0.4133785584137996,0.0,1,1,1,0,0
M,0.01020050048828125,-0.09855979681015015,0.099086244037553,0.36057689327051173,0.0,1,1,1,0,0
F,0.008751094341278076,-0.07753944396972656,0.07803170524411417,0.4168164032430117,0.0,1,1,1,0,0
F,0.018541574478149414,0.027387022972106934,0.033073237086857325,0.15658481799178106,1.0,1,1,1,0,0
F,0.015014678239822388,0.04415707290172577,0.04663997909405321,0.22280288459841355,1.0,1,1,1,0,0
M,0.013753533363342285,0.09910735487937927,0.1000571210417519,0.2527502741700358,1.0,1,1,1,0,0
F,0.014985233545303345,0.1536925733089447,0.1544213855485458,0.22345988767397343,1.0,1,1,1,0,0
F,0.014955341815948486,0.2085537612438202,0.2090892957034774,0.2241288472421886,1.0,1,1,1,0,0
